,ID,Year,Fall,Name,Nametype,Mass,Latitude,Longitude
170,5265,1902-01-01T00:00:00.000,Fell,Caratash,Valid,8,38.500000,27.000000
171,5291,1874-01-01T00:00:00.000,Fell,Castalia,Valid,7300,36.083330,-78.066670
172,5292,1791-01-01T00:00:00.000,Fell,Castel Berardenga,Valid,,43.350000,11.500000
173,5293,1848-01-01T00:00:00.000,Fell,Castine,Valid,94,44.383330,-68.750000
174,5295,1583-01-01T00:00:00.000,Fell,Castrovillari,Valid,15000,39.800000,16.200000
175,5296,1810-01-01T00:00:00.000,Fell,Caswell County,Valid,1360,36.500000,-79.250000
176,5306,1988-01-01T00:00:00.000,Fell,Ceniceros,Valid,1025,26.466670,-105.233330
177,5307,1956-01-01T00:00:00.000,Fell,Centerville,Valid,45.6,43.200000,-96.916670
178,5308,1840-01-01T00:00:00.000,Fell,Cereseto,Valid,6460,45.083330,8.300000
179,5313,1998-01-01T00:00:00.000,Fell,Chadong,Valid,3700,28.533330,109.316670
180,5314,1814-01-01T00:00:00.000,Fell,Chail,Valid,0.5,25.366670,81.666670
181,5315,1907-01-01T00:00:00.000,Fell,Chainpur,Valid,8200,25.850000,83.483330
182,5316,1933-01-01T00:00:00.000,Fell,Chajari,Valid,18300,-30.783330,-58.050000
183,5320,1838-01-01T00:00:00.000,Fell,Chandakapur,Valid,8800,20.266670,76.016670
184,5321,1885-01-01T00:00:00.000,Fell,Chandpur,Valid,1100,27.283330,79.050000
185,5322,1977-01-01T00:00:00.000,Fell,Changde,Valid,1810,29.083330,111.750000
186,5325,1812-01-01T00:00:00.000,Fell,Chantonnay,Valid,31500,46.683330,1.050000
187,5328,1835-01-01T00:00:00.000,Fell,Charlotte,Valid,4300,36.166670,-87.333330
188,5329,1810-01-01T00:00:00.000,Fell,Charsonville,Valid,27000,47.933330,1.566670
189,5330,1834-01-01T00:00:00.000,Fell,Charwallas,Valid,12000,29.483330,75.500000
190,5331,1815-01-01T00:00:00.000,Fell,Chassigny,Valid,4000,47.716670,5.366670
191,5332,1841-01-01T00:00:00.000,Fell,Château-Renard,Valid,30000,47.933330,2.916670
192,5334,1925-01-01T00:00:00.000,Fell,Chaves,Valid,2945,41.933330,-7.466670
193,5338,1988-01-01T00:00:00.000,Fell,Chela,Valid,2936,-3.666670,32.500000
194,57165,2013-01-01T00:00:00.000,Fell,Chelyabinsk,Valid,100000,54.816670,61.116670
195,47347,2007-01-01T00:00:00.000,Fell,Chergach ,Valid,100000,23.696390,-5.014720
