CALENDAR YEAR,MONTH,VENDOR NAME,CATEGORY,ITEM ,ITEM DESCRIPTION,QUANTITY,TRANSACTION SOURCE TYPE
2018,January,LEGENDS LTD,BEER,347336,TWO ROADS LIL HEAVEN - 12OZ CAN,7,Purchase order
2018,January,PERNOD RICARD USA LLC,LIQUOR,70088,ABSOLUT VODKA - PEARS - 1L,11,Purchase order
2018,January,HEAVEN HILL DISTILLERIES INC,LIQUOR,326059,DEEP EDDY VODKA - SWEET TEA - 750ML,22,Purchase order
2018,January,DOGFISH HEAD CRAFT BREWERY,KEG,88369,DOGFISH LUPU-LUAU IPA 1/2 KEG,12,Purchase order
2018,January,PATERNO IMPORTS LTD,WINE,311955,MARKHAM 1879 RED BLEND - 750ML,7,Purchase order
2018,January,A VINTNERS SELECTIONS,WINE,333775,PULENTA EST MALB - 750ML,1,Purchase order
2018,January,BACCHUS IMPORTERS LTD,LIQUOR,77521,123 TEQUILA - REPOSADO - 750ML,1,Purchase order
2018,January,A VINTNERS SELECTIONS,WINE,306843,KUROSAWA JUNMAI KIMOTO - 720ML,4,Purchase order
2018,January,A VINTNERS SELECTIONS,WINE,70220,GRAHAMS 6 GRAPES PORT 24/CS - 375ML,1,Purchase order
2018,January,E & J GALLO WINERY,WINE,82482,BAREFOOT CEL RIESLING - 750ML,34,Purchase order
2018,January,KATCEF BROTHERS INC,BEER,50893,VICTORY WISDOM HOUR 12/750ML NR,5,Purchase order
2018,January,REPUBLIC NATIONAL DISTRIBUTING CO,WINE,311768,CECCHI BONIZIO BIANCO - 1.5L,5,Purchase order
2018,January,KATCEF BROTHERS INC,BEER,10356,TROEGS NUGGET NECTAR - 4/6 12OZ CAN,20,Purchase order
2018,January,INTERBALT PRODUCTS CORP,WINE,345217,ARTEVANI SAPERAVI ORSHIMO CERAMIC - 750ML,4,Purchase order
2018,January,CONSTELLATION BRANDS,LIQUOR,70764,HIGH WEST AM PRAIRIE BOURBON - 750ML,84,Purchase order
2018,January,ROYAL WINE CORP,WINE,309976,COVENANT RED C S/BLC - 750ML,1,Purchase order
2018,January,JIM BEAM BRANDS CO,LIQUOR,70681,JIM BEAM SINGLE BARREL - 750ML,5,Purchase order
2018,January,TREASURY WINE ESTATES AMERICAS COMPANY,WINE,85067,BERINGER PINK MOSCATO - 750ML,16,Purchase order
2018,January,A VINTNERS SELECTIONS,WINE,319152,DOM LAFAGE BASTIDE MIRAFLORS VV - 750ML,39,Purchase order
2018,January,BARON FRANCOIS LTD,LIQUOR,334913,PARK COGNAC VSOP - 750ML,3,Purchase order
2018,January,DOPS INC,BEER,96814,MCEWANS SCOTCH ALE 4/6NR - 12OZ,2,Purchase order
2018,January,PUNTO VINO LLC,WINE,318806,LE COSTE BRUN - 750ML,5,Purchase order
2018,January,DIAGEO NORTH AMERICA INC,LIQUOR,40330,CAPTAIN MORGAN PRIVATE STOCK - 1.75L,2,Purchase order
2018,January,CONSTELLATION BRANDS,WINE,54020,WOODBRIDGE P/GRIG - 187ML,96,Purchase order
2018,January,HEINEKEN USA,BEER,97616,DOS EQUIS SPEC LAGER 4/6 NR - 12OZ,252,Purchase order
2018,January,BACARDI USA INC,LIQUOR,77539,BACARDI RUM - MANGO FUSION - 1L,14,Purchase order
2018,January,REPUBLIC NATIONAL DISTRIBUTING CO,WINE,54496,SNOQUALMIE SYR - 750ML,1,Purchase order
2018,January,A VINTNERS SELECTIONS,LIQUOR,326922,MEZCALES DE LEYENDA PELOTON MUERTE - 1L,15,Purchase order
2018,January,ROYAL WINE CORP,WINE,330094,ALTOONA HILLS CAB/SHZ - 750ML,1,Purchase order
2018,January,TRI-VIN IMPORTS,WINE,331008,CH MAISON BLANCHE MEDOC - 750ML,2,Purchase order
2018,January,DIAGEO NORTH AMERICA INC,LIQUOR,71355,STIRRINGS GINGER LIQUEUR - 750ML,2,Purchase order
2018,January,JACKSON FAMILY ENTERPRISES INC,WINE,80359,BENVOLIO P/GRIG - 750ML,98,Purchase order
2018,January,WILLIAM GRANT AND SONS INC,LIQUOR,27332,GLENFIDDICH 12YR - 750ML,30,Purchase order
2018,January,SERRALLES USA LLC,LIQUOR,24678,DON Q RUM - GOLD - 1.75L,9,Purchase order
2018,January,SUTTER HOME WINERY INC,WINE,80198,FOLIE A DEUX RR CHARD - 750ML,55,Purchase order
2018,January,LEGENDS LTD,KEG,50864,TWO ROADS CLEMENTINE GOSE 1/6 KEG,1,Purchase order
2018,January,REPUBLIC NATIONAL DISTRIBUTING CO,WINE,313667,CAMPO VIEJO RESA - 750ML,17,Purchase order
2018,January,SOUTHERN GLAZERS WINE AND SPIRITS,WINE,63568,FOLONARI P/NOIR                24797 - 750ML,1,Purchase order
2018,January,DOPS INC,BEER,22310,OLD SPECKLED HEN 4/6 NR - 12OZ,4,Purchase order
2018,January,REPUBLIC NATIONAL DISTRIBUTING CO,WINE,37761,CLOS DU BOIS RES CHARD - 750ML,2,Purchase order
2018,January,MILLER BREWING COMPANY,BEER,23785,COORS LIGHT ALUM 2/9 NR - 16OZ,420,Purchase order
